iter	Passed	Remaining
0	0	14
1	0	11
2	0	10
3	0	10
4	1	9
5	1	9
6	1	8
7	1	9
8	2	10
9	3	12
10	3	12
11	3	11
12	4	12
13	5	13
14	5	13
15	6	13
16	6	13
17	7	13
18	7	12
19	8	12
20	8	11
21	9	11
22	9	11
23	9	10
24	10	10
25	10	9
26	11	9
27	11	9
28	12	8
29	12	8
30	12	7
31	12	7
32	13	7
33	14	6
34	14	6
35	14	5
36	15	5
37	15	5
38	16	4
39	16	4
40	16	3
41	17	3
42	17	2
43	18	2
44	18	2
45	19	1
46	19	1
47	20	0
48	20	0
49	20	0
