boosted_ab_model__estimator__max_depth,boosted_ab_model__learning_rate,boosted_ab_model__n_estimators,avg_mccv_accuracy,avg_mccv_sensitivity,avg_mccv_specificity,avg_mccv_f1
1,0.01,50,0.8354838709677419,0.9052631578947367,0.8046511627906976,0.7727531108284661
1,0.01,100,0.864516129032258,0.8884210526315789,0.853953488372093,0.8054874901249737
1,0.1,50,0.8974193548387096,0.8757894736842106,0.9069767441860467,0.8403879793645445
1,0.1,100,0.8909677419354837,0.863157894736842,0.9032558139534883,0.8294411764708491
2,0.01,50,0.896774193548387,0.8652631578947368,0.9106976744186048,0.837230884075258
2,0.01,100,0.889032258064516,0.8463157894736841,0.9079069767441861,0.8227843522622308
2,0.1,50,0.8806451612903224,0.831578947368421,0.9023255813953487,0.8102237389510245
2,0.1,100,0.8729032258064515,0.8126315789473685,0.8995348837209304,0.795245643690637
